2.392335538634377352e-09    1.852807539126044727e-05    1.991000000000000094e-08
6.278866558482087005e-09    3.697761821955460493e-05    3.972999999999999908e-08
1.625265260267132531e-08    7.376451450047680290e-05    7.925999999999999637e-08
4.166770690300835712e-08    1.472485555617883022e-04    1.580999999999999930e-07
5.453751092248158418e-08    1.853929432882705901e-04    1.991000000000000027e-07
1.016727000374485015e-07    2.938800695574128878e-04    3.155999999999999938e-07
1.890525527399825229e-07    4.657541930779154991e-04    5.000999999999999849e-07
2.577081512919735397e-07    5.864699612946653413e-04    6.295999999999999732e-07
3.143178130071152149e-07    6.798676165367139495e-04    7.298999999999999912e-07
4.281612782424166151e-07    9.008806865989791223e-04    9.666999999999999941e-07
7.939083759830232678e-07    1.427609805351433151e-03    1.531999999999999901e-06
1.470478092622643844e-06    2.336904695125371651e-03    2.506999999999999883e-06
2.722506553488952450e-06    3.705615078252089481e-03    3.974000000000000407e-06
3.533890900012482914e-06    4.504964379873225948e-03    4.830000000000000343e-06
4.807140182249406697e-06    5.671172939922588911e-03    6.080999999999999885e-06
6.541006116589688546e-06    7.398889325180905280e-03    7.930000000000000308e-06
8.894020721507925833e-06    9.317327649071633494e-03    9.982000000000000313e-06
1.209586818125077954e-05    1.172939922589330726e-02    1.256999999999999993e-05
1.562226937960304289e-05    1.420878442811465692e-02    1.521999999999999997e-05
2.124578704281612657e-05    1.859538901666012156e-02    1.991000000000000080e-05
2.888528273623767350e-05    2.341392270152016508e-02    2.506999999999999883e-05
3.713019598052677496e-05    2.826611319908004655e-02    3.025000000000000006e-05
5.048683060791411093e-05    3.712907387670387471e-02    3.973000000000000078e-05
6.865559855199101071e-05    4.676614124642396175e-02    5.001999999999999882e-05
9.050056172762450241e-05    5.402479385202221124e-02    5.776999999999999746e-05
9.330919985020596141e-05    6.119930442587086933e-02    6.545000000000000524e-05
1.268880289601797629e-04    7.940203062769955744e-02    8.485000000000000246e-05
1.620896267632005838e-04    9.541706400403882071e-02    1.019499999999999980e-04
2.053426538509549196e-04    1.175744656980983877e-01    1.255999999999999901e-04
2.791786293845961329e-04    1.531384977842598361e-01    1.634999999999999897e-04
3.630008737985270114e-04    1.865148370449318527e-01    1.990000000000000124e-04
4.704780926226437981e-04    2.349245526448645316e-01    2.506000000000000198e-04
4.871426788166271279e-04    2.411510629943344475e-01    2.572000000000000176e-04
4.903882162027212209e-04    2.423851461266618157e-01    2.584999999999999950e-04
4.924478841590000525e-04    2.501823077349999980e-01    2.669999999999999847e-04
5.212832355510000270e-04    2.928142704889999948e-01    3.126000000000000089e-04
5.678442142049999492e-04    3.707858865770000123e-01    3.951000000000000085e-04
6.135938085129999907e-04    4.467380939030000109e-01    4.759000000000000209e-04
6.759455748349999741e-04    5.456891232399999625e-01    5.812000000000000326e-04
7.602047185120000073e-04    6.708924664830000495e-01    7.142999999999999610e-04
8.731743852199999947e-04    8.251528580239999577e-01    8.785999999999999973e-04
1.022344276620000027e-03    1.012509115390000103e+00    1.077000000000000049e-03
1.217076519789999983e-03    1.235205026080000046e+00    1.314000000000000064e-03
1.617775558609999952e-03    1.643574353510000030e+00    1.747999999999999988e-03
2.188241168389999918e-03    2.150109384639999899e+00    2.286999999999999970e-03
2.977780551739999792e-03    2.767150950800000064e+00    2.942000000000000171e-03
4.045063038319999735e-03    3.504796095810000178e+00    3.726000000000000145e-03
5.459992510299999623e-03    4.375946597859999621e+00    4.649999999999999620e-03
7.302459118710000023e-03    5.391260447639999676e+00    5.727999999999999585e-03
1.057920359509999936e-02    6.989398104000000167e+00    7.424000000000000044e-03
1.378729247280000014e-02    8.391765299830000302e+00    8.906999999999999987e-03
1.777555860689999934e-02    9.973635496720000049e+00    1.059000000000000045e-02
2.453501435529999858e-02    1.239692601109999970e+01    1.315000000000000023e-02
3.855948071399999816e-02    1.676109272449999921e+01    1.777000000000000107e-02
5.476220197230000086e-02    2.113086890670000173e+01    2.239000000000000018e-02
8.650605417550000231e-02    2.850171088800000163e+01    3.016999999999999890e-02
1.174634877040000025e-01    3.473944017499999859e+01    3.674999999999999795e-02
1.661465484959999961e-01    4.337241263250000145e+01    4.585000000000000187e-02
2.432280614160000076e-01    5.511864026479999978e+01    5.820999999999999786e-02
3.658095119209999746e-01    7.079149604529999351e+01    7.467999999999999639e-02
5.364498814129999849e-01    8.896617490319999888e+01    9.371000000000000163e-02
8.026463612530000402e-01    1.124137544170000069e+02    1.181999999999999995e-01
1.186461361417057825e+00    1.127400395297785280e+02    1.185600000000000681e-01
1.224261887804165783e+00    1.142008758278770699e+02    1.200800000000000478e-01
1.263170468029627624e+00    1.156621975432459664e+02    1.216000000000000553e-01
    0.13032E+01    0.11712E+03    0.12312E+00
    0.17802E+01    0.13177E+03    0.13832E+00
    0.24322E+01    0.14648E+03    0.15352E+00
    0.33123E+01    0.16126E+03    0.16872E+00
    0.44742E+01    0.17614E+03    0.18392E+00
    0.59710E+01    0.19112E+03    0.19912E+00
    0.78532E+01    0.20624E+03    0.21432E+00
    0.10167E+02    0.22150E+03    0.22952E+00
    0.12954E+02    0.23693E+03    0.24472E+00
    0.16248E+02    0.25255E+03    0.25992E+00
    0.20078E+02    0.26837E+03    0.27512E+00
    0.24467E+02    0.28442E+03    0.29032E+00
    0.29429E+02    0.30072E+03    0.30552E+00
    0.34977E+02    0.31728E+03    0.32072E+00
    0.41110E+02    0.33412E+03    0.33592E+00
    0.46454E+02    0.35122E+03    0.35112E+00
    0.51623E+02    0.36854E+03    0.36632E+00
    0.56194E+02    0.38607E+03    0.38152E+00
