    0.9473160487E-02    0.2054497703E+01
    0.1019348183E-01    0.2147611373E+01
    0.1096263125E-01    0.2244232352E+01
    0.1178351886E-01    0.2344466784E+01
    0.1265920445E-01    0.2448423286E+01
    0.1359290393E-01    0.2556212992E+01
    0.1458799605E-01    0.2667949595E+01
    0.1564802928E-01    0.2783749390E+01
    0.1677672901E-01    0.2903731321E+01
    0.1797800493E-01    0.3028017024E+01
    0.1925595865E-01    0.3156730874E+01
    0.2061489165E-01    0.3290000031E+01
    0.2205931337E-01    0.3427954489E+01
    0.2359394970E-01    0.3570727122E+01
    0.2522375165E-01    0.3718453730E+01
    0.2695390432E-01    0.3871273096E+01
    0.2878983616E-01    0.4029327026E+01
    0.3073722853E-01    0.4192760410E+01
    0.3280202556E-01    0.4361721263E+01
    0.3499044427E-01    0.4536360785E+01
    0.3730898509E-01    0.4716833410E+01
    0.3976444258E-01    0.4903296862E+01
    0.4236391662E-01    0.5095912205E+01
    0.4511482375E-01    0.5294843905E+01
    0.4802490905E-01    0.5500259879E+01
    0.5110225820E-01    0.5712331556E+01
    0.5435530999E-01    0.5931233933E+01
    0.5779286914E-01    0.6157145636E+01
    0.6142411952E-01    0.6390248974E+01
    0.6525863774E-01    0.6630730005E+01
    0.6930640709E-01    0.6878778593E+01
    0.7357783189E-01    0.7134588473E+01
    0.7808375226E-01    0.7398357310E+01
    0.8283545925E-01    0.7670286767E+01
    0.8784471044E-01    0.7950582567E+01
    0.9312374586E-01    0.8239454560E+01
    0.9868530446E-01    0.8537116788E+01
    0.1045426409E+00    0.8843787555E+01
    0.1107095429E+00    0.9159689493E+01
    0.1172003489E+00    0.9485049634E+01
    0.1240299662E+00    0.9820099480E+01
    0.1312138900E+00    0.1016507507E+02
    0.1387682217E+00    0.1052021707E+02
    0.1467096896E+00    0.1088577082E+02
    0.1550556681E+00    0.1126198642E+02
    0.1638241985E+00    0.1164911883E+02
    0.1730340106E+00    0.1204742791E+02
    0.1827045435E+00    0.1245717852E+02
    0.1928559685E+00    0.1287864058E+02
    0.2035092111E+00    0.1331208919E+02
    0.2146859746E+00    0.1375780467E+02
    0.2264087636E+00    0.1421607266E+02
    0.2387009087E+00    0.1468718422E+02
    0.2515865905E+00    0.1517143587E+02
    0.2650908659E+00    0.1566912974E+02
    0.2792396937E+00    0.1618057361E+02
    0.2940599608E+00    0.1670608100E+02
    0.3095795101E+00    0.1724597129E+02
    0.3258271676E+00    0.1780056982E+02
    0.3428327711E+00    0.1837020791E+02
    0.3606271990E+00    0.1895522304E+02
    0.3792423999E+00    0.1955595891E+02
    0.3987114231E+00    0.2017276553E+02
    0.4190684490E+00    0.2080599933E+02
    0.4403488206E+00    0.2145602328E+02
    0.4625890762E+00    0.2212320693E+02
    0.4858269817E+00    0.2280792659E+02
    0.5101015642E+00    0.2351056538E+02
    0.5354531460E+00    0.2423151338E+02
    0.5619233798E+00    0.2497116770E+02
    0.5895552839E+00    0.2572993259E+02
    0.6183932783E+00    0.2650821960E+02
    0.6484832221E+00    0.2730644762E+02
    0.6798724507E+00    0.2812504308E+02
    0.7126098142E+00    0.2896443997E+02
    0.7467457165E+00    0.2982508006E+02
    0.7823321553E+00    0.3070741291E+02
    0.8194227623E+00    0.3161189610E+02
    0.8580728446E+00    0.3253899528E+02
    0.8983394270E+00    0.3348918432E+02
    0.9402812945E+00    0.3446294543E+02
    0.9839590358E+00    0.3546076930E+02
    0.1029435088E+01    0.3648315521E+02
    0.1076773781E+01    0.3753061120E+02
    0.1126041385E+01    0.3860365416E+02
    0.1177306155E+01    0.3970280998E+02
    0.1230638379E+01    0.4082861371E+02
    0.1286110429E+01    0.4198160967E+02
    0.1343796806E+01    0.4316235162E+02
    0.1403774191E+01    0.4437140287E+02
    0.1466121499E+01    0.4560933647E+02
    0.1530919927E+01    0.4687673530E+02
    0.1598253007E+01    0.4817419227E+02
    0.1668206660E+01    0.4950231046E+02
    0.1740869252E+01    0.5086170326E+02
    0.1816331643E+01    0.5225299454E+02
    0.1894687251E+01    0.5367681880E+02
    0.1976032103E+01    0.5513382132E+02
    0.2060464893E+01    0.5662465836E+02
    0.2148087044E+01    0.5814999729E+02
    0.2239002763E+01    0.5971051676E+02
    0.2333319104E+01    0.6130690690E+02
    0.2431146030E+01    0.6293986944E+02
    0.2532596470E+01    0.6461011794E+02
    0.2637786389E+01    0.6631837793E+02
    0.2746834847E+01    0.6806538708E+02
    0.2859864064E+01    0.6985189544E+02
    0.2976999489E+01    0.7167866554E+02
    0.3098369863E+01    0.7354647265E+02
    0.3224107288E+01    0.7545610492E+02
    0.3354347298E+01    0.7740836359E+02
    0.3489228923E+01    0.7940406318E+02
    0.3628894763E+01    0.8144403170E+02
